,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,count
0,2019,2019,NB 24 ST SE @ 86 AV SE,,50.977379,-113.99876,,,0,194
1,2024,2024,SB Edmonton TR @ 6 AV NE,,51.05773,-114.054426,,,0,41
2,2028,2028,WB Symons Valley Py @ Sage Meadows Gr NW,,51.16823,-114.12602,,,0,29
3,2029,2029,EB Symons Valley PY @ Sage Meadows GR NW,,51.167914,-114.124538,,,0,31
4,2030,2030,SB 7 ST SW @ 7 AVE SW,,51.047054,-114.078824,,,0,194
5,2031,2031,WB Nolan Hill GA @ Shaganappi TR NW,,51.179948,-114.161056,,,0,27
6,2038,2038,EB Nolan Hill GA @ Nolanfield WY NW,,51.178968,-114.162749,,,0,29
7,2042,2042,WB 33 AV @ 22 ST SW,,51.024085,-114.114915,,,0,41
8,2047,2047,WB Nolan Hill DR NW @ Nolanfield PT NW,,51.178825,-114.166086,,,0,27
9,2048,2048,SB Nolan Hill Bvd @ Nolancrest Gr NW,,51.178522,-114.170605,,,0,27
10,2049,2049,SB Nolan Hill Bv @ Nolan Hill Ave NW,,51.175463,-114.171763,,,0,27
11,2050,2050,SB Nolan Hill Bv @ Nolancliff Ct NW,,51.173536,-114.171222,,,0,27
12,2051,2051,SB Nolan Hill Bv @ Nolancliff Crescent nw,,51.173159,-114.168201,,,0,27
13,2052,2052,EB Nolan Hill BV @ Nolanshire GR NW,,51.172671,-114.164034,,,0,27
14,2053,2053,EB Nolan Hill BV @ Nolanshire PT 100 NW,,51.171515,-114.161943,,,0,27
15,2054,2054,NB Kincora Ga @ Shaganappi Tr NW,,51.16623,-114.147594,,,0,36
16,2055,2055,EB Nolan Hill DR @ Nolanfield PT NW,,51.178536,-114.16528,,,0,29
17,2056,2056,NB Nolan Hill Bv @ Nolan Hill Dr NW,,51.178384,-114.17033,,,0,29
18,2057,2057,WB Nolan Hill GA @ Nolan Hill DR NW,,51.178622,-114.163484,,,0,27
19,2059,2059,SB Shaganappi TR @ Nolan Hill BV NW,,51.17189,-114.154297,,,0,29
20,2062,2062,NB Shaganappi Tr @ Kincora Ga NW,,51.165898,-114.149075,,,0,27
21,2063,2063,SB Shaganappi TR @ Kincora GA NW,,51.165196,-114.148157,,,0,66
22,2064,2064,NB Shaganappi Tr @ Sherwood Ga NW,,51.163652,-114.143676,,,0,63
23,2066,2066,WB Nolan Hill BV @ Nolanshire PT 100 NW,,51.171716,-114.162004,,,0,29
24,2067,2067,WB Nolan Hill BV @ Nolanshire CR NW,,51.173239,-114.16471,,,0,29
25,2068,2068,WB Nolan Hill BV @ Nolancrest HT NW,,51.173223,-114.16926,,,0,29
26,2069,2069,NB Nolan Hill Bv @ Nolancrest Ga NW,,51.174153,-114.171418,,,0,29
27,2070,2070,NB Nolan Hill Bv @ Nolan Hill Ave NW,,51.176296,-114.17147,,,0,29
28,2073,2073,NB Shaganappi Tr @ Symons Valley PY NW,,51.168325,-114.151514,,,0,31
29,2076,2076,EB Symons Valley PY @ Kincora GA NW,,51.167872,-114.145687,,,0,63
30,2078,2078,SB Shaganappi TR @ 128 AV NW,,51.167271,-114.151729,,,0,66
31,2079,2079,NB Sherwood Bv @ Sherwood Ga NW,,51.162996,-114.150612,,,0,36
32,2080,2080,EB Sherwood GA @ Sherwood SQ NW,,51.16297,-114.14598,,,0,36
33,2081,2081,WB Sherwood Ga @ Sherwood Sq NW,,51.16335,-114.146848,,,0,37
34,2082,2082,WB Sage Hill BV@ Sage Hill PS NW,,51.170291,-114.148678,,,0,93
35,2083,2083,WB Sage Hill BV @ E. of  Shaganappi Tr NW,,51.170521,-114.151023,,,0,93
