,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,count
0,ADELADA1,20,Adelaide at Ada NB - #20,,42.974289,-81.225234,,,,,,0,0
1,ADELADA2,21,Adelaide at Ada SB - #21,,42.97461,-81.225615,,,,,,0,0
2,ADELCEN1,22,Adelaide at Central  NB - #22,,42.994567,-81.234344,,,,,,0,0
3,ADELCEN2,23,Adelaide at Central  SB - #23,,42.99494,-81.234663,,,,,,0,0
4,ADELCHE1,24,Adelaide at Cheapside NB - #24,,43.00647,-81.240181,,,,,,0,0
5,ADELCHE2,25,Adelaide at Cheapside SB - #25,,43.005866,-81.240088,,,,,,0,0
6,ADELDUN1,27,Adelaide at Dundas NB - #27,,42.989214,-81.231686,,,,,,0,0
7,ADELDUN2,28,Adelaide at Dundas SB - #28,,42.988343,-81.231467,,,,,,0,0
8,ADELEDNA,29,Adelaide at Edna SB - #29,,42.971883,-81.224342,,,,,,0,0
9,ADELFAN2,32,Adelaide at Fanshawe Pk Rd SB - #32,,43.034328,-81.254625,,,,,,0,0
10,ADELGLEN,33,Adelaide at Glenora NB - #33,,43.029017,-81.251604,,,,,,0,0
11,ADELGRO1,34,Adelaide at Grosvenor NB - #34,,43.004337,-81.239172,,,,,,0,0
12,ADELGRO2,35,Adelaide at Grosvenor SB - #35,,43.004249,-81.239265,,,,,,0,0
13,ADELHAMI,36,Adelaide at Hamilton SB - #36,,42.982275,-81.228829,,,,,,0,0
14,ADELHIL1,37,Adelaide at Hill NB - #37,,42.979827,-81.227608,,,,,,0,0
15,ADELHIL2,38,Adelaide at Hill SB - #38,,42.980363,-81.227992,,,,,,0,0
16,ADELHUR1,39,Adelaide at Huron  NB - #39,,43.012606,-81.243443,,,,,,0,0
17,ADELHUR2,40,Adelaide at Huron SB - #40,,43.011146,-81.24272,,,,,,0,0
18,ADELHUR5,42,Opposite 1145 Adelaide NB - #42,,43.015827,-81.245032,,,,,,0,0
19,ADELKIP1,43,Adelaide north of Kipps Lane  NB - #43,,43.018099,-81.246148,,,,,,0,0
20,ADELKIP2,44,Adelaide north of Kipps Lane SB - #44,,43.01775,-81.24618,,,,,,0,0
21,ADELKIP6,47,Adelaide south of Kipps Lane 2 SB - #47,,43.014658,-81.244642,,,,,,0,0
22,ADELLEA1,48,Adelaide south of Leathorne St NB - #48,,42.960884,-81.216852,,,,,,0,0
23,ADELLEA2,49,Adelaide at Leathorne SB - #49,,42.961015,-81.217334,,,,,,0,0
24,ADELLEA3,50,Adelaide north of Leathorne 1 NB - #50,,42.962904,-81.220032,,,,,,0,0
25,ADELLEA5,52,Adelaide north of Leathorne 2 NB - #52,,42.963991,-81.220618,,,,,,0,0
26,ADELLISI,53,Adelaide at Little Simcoe NB - #53,,42.982516,-81.228761,,,,,,0,0
27,ADELLORN,54,Adelaide at Lorne NB - #54,,42.992328,-81.233229,,,,,,0,0
28,ADELMAPL,55,Adelaide at Mapledale SB - #55,,43.031429,-81.253063,,,,,,0,0
29,ADELMAUD,56,Adelaide at Maud NB - #56,,42.970708,-81.223681,,,,,,0,0
30,ADELMCMA,57,Adelaide at McMahen NB - #57,,42.997642,-81.23587,,,,,,0,0
31,ADELNEL1,58,Adelaide at Nelson NB - #58,,42.977567,-81.226683,,,,,,0,0
32,ADELNEL2,59,Adelaide at Nelson SB - #59,,42.977503,-81.226792,,,,,,0,0
33,ADELOSG1,60,Adelaide at SE Osgoode NB - #60,,42.93825,-81.209242,,,,,,0,0
34,ADELOSG2,61,Adelaide at NW Osgoode SB - #61,,42.941834,-81.213008,,,,,,0,0
35,ADELOSG3,62,Adelaide at NE Osgoode NB - #62,,42.942427,-81.213344,,,,,,0,0
36,ADELOSG4,63,Adelaide at SE Osgoode SB - #63,,42.937296,-81.20903,,,,,,0,0
37,ADELOSG5,64,Adelaide at SE Osgoode NS NB - #64,,42.937249,-81.208782,,,,,,0,0
38,ADELOSG6,65,Adelaide at SW Osgoode SB - #65,,42.939001,-81.2102,,,,,,0,0
39,ADELOSG7,66,Adelaide at Osgoode 3 NB - #66,,42.939237,-81.210169,,,,,,0,0
40,ADELOXF1,67,Adelaide at Oxford  NB - #67,,43.00054,-81.23728,,,,,,0,0
41,ADELOXF2,68,Adelaide at Oxford SB - #68,,43.000449,-81.237393,,,,,,0,0
42,ADELPAMA,69,Adelaide at Pall Mall SB - #69,,42.996487,-81.235428,,,,,,0,0
43,ADELPIC1,70,Adelaide at Piccadilly NB - #70,,42.99887,-81.236488,,,,,,0,0
44,ADELPIC2,71,Adelaide at Piccadilly SB - #71,,42.999014,-81.236686,,,,,,0,0
45,ADELPRIN,72,Adelaide at Princess SB - #72,,42.992506,-81.233465,,,,,,0,0
46,ADELQUEE,73,Adelaide at Queens SB - #73,,42.990215,-81.232309,,,,,,0,0
47,ADELREG1,74,Adelaide at Regent NB - #74,,43.010802,-81.242321,,,,,,0,0
48,ADELROSE,76,Adelaide at Rosedale SB - #76,,42.993791,-81.234088,,,,,,0,0
49,ADELSDAL,77,Adelaide at Southdale SB - #77,,42.943708,-81.214531,,,,,,0,0
50,ADELSJA1,78,Adelaide at St. James NB - #78,,43.002071,-81.238032,,,,,,0,0
51,ADELSJA2,79,Adelaide at St. James SB - #79,,43.002171,-81.238249,,,,,,0,0
52,ADELTENN,80,Adelaide at Tennant NB - #80,,43.030415,-81.252305,,,,,,0,0
53,ADELTERR,81,Adelaide at Terrace NB - #81,,42.972963,-81.224651,,,,,,0,0
54,ADELTHO1,82,Adelaide at Thompson NB - #82,,42.968564,-81.222737,,,,,,0,0
55,ADELTHO2,83,207 Adelaide - #83,,42.964134,-81.220869,,,,,,0,0
56,ADELTHO4,84,Adelaide at Thompson SB - #84,,42.967775,-81.222568,,,,,,0,0
57,ADELTHO6,85,155 Adelaide SB - #85,,42.965996,-81.221812,,,,,,0,0
58,ADELTHO8,86,247 Adelaide SB - #86,,42.962455,-81.219962,,,,,,0,0
59,ADELVIC1,87,Adelaide at Victoria NB - #87,,43.008164,-81.241064,,,,,,0,0
60,ADELVIC2,88,Adelaide at Victoria SB - #88,,43.008394,-81.241297,,,,,,0,0
61,ADELWIN1,89,Adelaide at Winderemere NB - #89,,43.023541,-81.248807,,,,,,0,0
62,ADELWIN2,90,Adelaide at Winderemere SB - #90,,43.023444,-81.249048,,,,,,0,0
63,ADMIBON1,93,Admiral at Bonaventure EB - #93,,43.003065,-81.154082,,,,,,0,0
64,ADMIBON2,94,Admiral at Bonaventure WB - #94,,43.003092,-81.154332,,,,,,0,0
65,ADMICAR1,95,Admiral at Carlyle EB - #95,,43.001932,-81.158102,,,,,,0,0
66,ADMICAR2,96,Admiral at Carlyle WB - #96,,43.00203,-81.158034,,,,,,0,0
67,ADMIKIP1,97,319 Admiral - #97,,42.999776,-81.161407,,,,,,0,0
68,ADMIKIP3,99,Admiral at Kipling EB - #99,,42.997513,-81.161871,,,,,,0,0
69,ADMISOVE,100,Admiral at Sovereign WB - #100,,43.004599,-81.148364,,,,,,0,0
70,ADMIVAU1,101,Admiral at Vaubois EB - #101,,43.002464,-81.156352,,,,,,0,0
71,ADMIVAU3,102,Admiral at Vaubois WB - #102,,43.002581,-81.15622,,,,,,0,0
72,ADMIVMP2,104,Admiral at Veterans Memorial Pkwy WB - #104,,43.003977,-81.150998,,,,,,0,0
73,ALDEARD1,114,Aldersbrook at Ardsley NB - #114,,43.001538,-81.314869,,,,,,0,0
74,ALDEARD2,115,Aldersbrook at Ardsley SB - #115,,43.001494,-81.314973,,,,,,0,0
75,ALDEAURO,116,Aldersbrook at Aurora SB - #116,,42.993378,-81.307808,,,,,,0,0
76,ALDEBARR,117,Aldersbrook at Barrydale SB - #117,,42.993947,-81.311052,,,,,,0,0
77,ALDEBLA2,119,Aldersbrook at Blackacres SB - #119,,43.011434,-81.321682,,,,,,0,0
78,ALDEBLA3,120,Aldersbrook north of Blackacres NB - #120,,43.012055,-81.321538,,,,,,0,0
79,ALDEBRAN,121,Aldersbrook at Brandy Lane NB - #121,,42.994024,-81.311112,,,,,,0,0
80,ALDEBRU1,122,Aldersbrook at Brunswick NB - #122,,42.999184,-81.315359,,,,,,0,0
81,ALDEBRU2,123,Aldersbrook at Brunswick SB - #123,,42.999267,-81.31545,,,,,,0,0
82,ALDEGAI1,126,Aldersbrook at Gainsborough NB - #126,,43.003132,-81.315752,,,,,,0,0
83,ALDEGAI2,127,Aldersbrook at Gainsborough SB - #127,,43.003719,-81.316164,,,,,,0,0
84,ALDEHAW1,128,Aldersbrook at Hawthorne NB - #128,,43.006761,-81.318598,,,,,,0,0
85,ALDEHAW2,129,Aldersbrook at Hawthorne SB - #129,,43.006554,-81.318479,,,,,,0,0
86,ALDELAW1,130,Aldersbrook at Lawson NB - #130,,42.994294,-81.312784,,,,,,0,0
87,ALDELAW2,131,Aldersbrook at Lawson SB - #131,,42.994256,-81.312906,,,,,,0,0
88,ALDERAN1,132,Aldersbrook at Ranchwood NB - #132,,43.004819,-81.317311,,,,,,0,0
89,ALDEREX1,134,Aldersbrook at Rexway NB - #134,,43.008857,-81.320511,,,,,,0,0
90,ALDEREX2,135,Aldersbrook at Rexway SB - #135,,43.008817,-81.320612,,,,,,0,0
91,ALDESOCT,136,Aldersbrook at Southcott Crt WB - #136,,42.99338,-81.307674,,,,,,0,0
92,ALDESPR1,137,Aldersbrook at Brandy Ln N Leg NB - #137,,42.996819,-81.314796,,,,,,0,0
93,ALDESPR2,138,Aldersbrook at Brandy Ln SB - #138,,42.996742,-81.314911,,,,,,0,0
94,ALUMHAL1,141,Alumni Hall EB - #141,,43.006041,-81.274944,,,,,,0,0
95,ALUMHAL2,142,Alumni Hall WB - #142,,43.006319,-81.275351,,,,,,0,0
96,AMBLGRA2,145,Ambleside at Grasmere Cres WB - #145,,43.016358,-81.285108,,,,,,0,0
97,AMBLHILL,147,Ambleside at Hillside WB - #147,,43.017645,-81.280695,,,,,,0,0
98,AMBLWHI1,149,Ambleside at Whitehaven WB - #149,,43.019798,-81.292995,,,,,,0,0
99,AMBLWHI2,150,286 Ambleside - #150,,43.021005,-81.294306,,,,,,0,0
100,ANDOCOM1,154,Andover at Commissioners NB - #154,,42.955725,-81.275336,,,,,,0,0
101,ANDOCOM2,155,Andover at Commissioners SB - #155,,42.955721,-81.275497,,,,,,0,0
102,ANDOELMG,156,Andover at Elmgrove Cr SB - #156,,42.951688,-81.275511,,,,,,0,0
103,ANDONOVE,158,Andover at Novello NB - #158,,42.952839,-81.275472,,,,,,0,0
104,ANDOVIG1,160,Andover at Village Green NB - #160,,42.953684,-81.275744,,,,,,0,0
105,ANDOVIG2,161,Andover at Village Green SB - #161,,42.95356,-81.275802,,,,,,0,0
106,ANDOVIS2,163,Andover at Viscount SB - #163,,42.948172,-81.275288,,,,,,0,0
107,ANDOVIS3,164,Andover north of Viscount  NB - #164,,42.948217,-81.275205,,,,,,0,0
108,ARGYMAL2,167,Argyle Mall NB - Stop 2 - #167,,43.002643,-81.173369,,,,,,0,0
109,ASHBMIL1,168,Ashbury at Millbank EB - #168,,42.937301,-81.202254,,,,,,0,0
110,ASHBMIL2,169,Ashbury at Millbank WB - #169,,42.937358,-81.202382,,,,,,0,0
111,ASHBSUR1,170,Ashbury at Surrey Cres NB - #170,,42.938413,-81.204312,,,,,,0,0
112,ASHBSUR2,171,Ashbury at Surrey Cres SB - #171,,42.938244,-81.2043,,,,,,0,0
113,BARKHURO,176,Barker at Huron SB - #176,,43.016179,-81.232,,,,,,0,0
114,BASEDUND,184,Base Line at Dundee Place EB - #184,,42.959601,-81.25735,,,,,,0,0
115,BASEFAI1,188,Base Line east Fairview Ave EB - #188,,42.962145,-81.225577,,,,,,0,0
116,BASEFAI2,189,Base Line west of Fairview Ave WB - #189,,42.962147,-81.226993,,,,,,0,0
117,BASEHIG1,192,Base Line at High EB - #192,,42.961362,-81.235476,,,,,,0,0
118,BASEMGR1,196,Base Line at McGregor EB - #196,,42.959013,-81.264059,,,,,,0,0
119,BASEWEL1,206,Base Line east of Wellington EB - #206,,42.961772,-81.230042,,,,,,0,0
120,BASEWEL3,208,Base Line west of Wellington EB - #208,,42.961636,-81.231553,,,,,,0,0
121,BASEWEL4,209,Base Line West of Fairview EB - #209,,42.962027,-81.226662,,,,,,0,0
122,BASEWEL6,210,Base Line west of Wellington WB - #210,,42.961786,-81.231501,,,,,,0,0
123,BASEWES1,211,Base Line east of West St  EB - #211,,42.958703,-81.267666,,,,,,0,0
124,BASEWES2,212,30 Base Line WB - #212,,42.959042,-81.264016,,,,,,0,0
125,BASEWES3,213,Base Line west of West St  EB - #213,,42.958329,-81.271553,,,,,,0,0
126,BASEWES4,214,90 Base Line WB - #214,,42.958764,-81.267069,,,,,,0,0
127,BASEWHA2,216,Base Line at Wharncliffe WB - #216,,42.959398,-81.260128,,,,,,0,0
128,BEACBAS1,222,Beachwood at Base Line NB - #222,,42.957793,-81.275356,,,,,,0,0
129,BEACBAS2,223,Beachwood at Base Line SB - #223,,42.957706,-81.275411,,,,,,0,0
130,BEAVBLYT,224,Beaverbrook at Blythwood WB - #224,,42.989057,-81.298029,,,,,,0,0
131,BEAVHORI,225,Beaverbrook at Horizon WB - #225,,42.990733,-81.292312,,,,,,0,0
132,BEAVOXF1,226,Beaverbrook at Oxford NB - #226,,42.987086,-81.281034,,,,,,0,0
133,BEAVOXF2,227,Beaverbrook at Oxford SB - #227,,42.986911,-81.281009,,,,,,0,0
134,BEAVWOND,228,Beaverbrook at Wonderland WB - #228,,42.990017,-81.294785,,,,,,0,0
135,BECKLANC,229,Beckworth at Lancaster EB - #229,,43.02153,-81.199744,,,,,,0,0
136,BECKLANG,230,Beckworth at Langton EB - #230,,43.022025,-81.197964,,,,,,0,0
137,BECKSORR,231,Beckworth at Sorrel EB - #231,,43.021237,-81.193988,,,,,,0,0
138,BECKTOUK,232,Beckworth at Toukay EB - #232,,43.02084,-81.202245,,,,,,0,0
139,BECKTUDO,233,Beckworth at Tudor EB - #233,,43.02187,-81.196218,,,,,,0,0
140,BELMHILL,234,Belmont at Hillsborough EB - #234,,42.947155,-81.261834,,,,,,0,0
141,BELMNODA,235,Belmont at Notre Dame EB - #235,,42.946298,-81.26779,,,,,,0,0
142,BELMSLAW,236,Belmont at St Lawrence EB - #236,,42.946828,-81.264574,,,,,,0,0
143,BELMWHAR,237,Belmont at Wharncliffe EB - #237,,42.947323,-81.259069,,,,,,0,0
144,BERKGAR1,240,Berkshire at Gardenwood NB - #240,,42.962686,-81.285332,,,,,,0,0
145,BERKGAR4,241,Berkshire north of Gardenwood SB - #241,,42.962481,-81.286307,,,,,,0,0
146,BERKROB1,242,Berkshire at Robin NB - #242,,42.960797,-81.282859,,,,,,0,0
147,BERKROB2,243,Berkshire at Robin SB - #243,,42.961183,-81.283003,,,,,,0,0
148,BERKSPR1,244,Berkshire at Springbank NB - #244,,42.964044,-81.290657,,,,,,0,0
149,BERKSPR2,245,Berkshire at Springbank SB - #245,,42.963902,-81.290635,,,,,,0,0
150,BERKTOP1,246,Berkshire at Topping Lane NB - #246,,42.959633,-81.283813,,,,,,0,0
151,BERKTOP2,247,Berkshire at Topping Lane SB - #247,,42.959659,-81.283837,,,,,,0,0
152,BES1EXET,250,Bessemer at Exeter NB - #250,,42.927041,-81.212835,,,,,,0,0
153,BESSBES3,252,Bessemer at Bessemer Crt 2 NB - #252,,42.932033,-81.211985,,,,,,0,0
